index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
232,Homeward Bound II: Lost in San Francâ€¦,8-Mar-96,Adventure,G,"$32,709,423 ","$62,384,706 "
233,Two Much,15-Mar-96,Romantic Comedy,PG-13,"$1,078,555 ","$2,057,055 "
234,Un indien dans la ville,22-Mar-96,Comedy,PG,"$1,029,731 ","$1,963,937 "
235,James and the Giant Peach,12-Apr-96,Adventure,PG,"$28,921,264 ","$55,159,783 "
236,Celtic Pride,19-Apr-96,Comedy,PG-13,"$9,240,378 ","$17,623,615 "
237,Last Dance,3-May-96,Drama,R,"$5,857,534 ","$11,171,714 "
238,Boys,10-May-96,Drama,PG-13,"$21,930,418 ","$41,826,566 "
239,Spy Hard,24-May-96,Comedy,PG-13,"$26,936,265 ","$51,373,912 "
240,Eddie,31-May-96,Comedy,PG-13,"$31,369,401 ","$59,828,966 "
241,The Rock,7-Jun-96,Action,R,"$134,069,511 ","$255,702,705 "
242,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,"$100,138,851 ","$190,988,799 "
243,Phenomenon,5-Jul-96,Drama,PG,"$104,636,382 ","$199,559,799 "
244,Kazaam,17-Jul-96,Comedy,PG,"$18,880,508 ","$36,009,655 "
245,Jack,9-Aug-96,Drama,PG-13,"$58,617,334 ","$111,792,852 "
246,First Kid,30-Aug-96,Comedy,PG,"$26,465,920 ","$50,465,108 "
247,The Rich Man's Wife,13-Sep-96,Thriller/Suspense,R,"$8,538,318 ","$16,284,619 "
248,D3: The Mighty Ducks,4-Oct-96,Comedy,PG,"$22,936,273 ","$43,713,554 "
249,The Associate,25-Oct-96,Comedy,PG-13,"$12,772,657 ","$24,333,094 "
250,Ransom,8-Nov-96,Action,R,"$136,492,681 ","$259,807,820 "
251,The War at Home,20-Nov-96,,R,"$34,368 ","$65,543 "
252,101 Dalmatians,27-Nov-96,Comedy,G,"$136,189,294 ","$258,728,898 "
253,The Preacher's Wife,13-Dec-96,Drama,PG,"$48,102,795 ","$91,076,877 "
254,Evita,25-Dec-96,Musical,PG,"$50,047,179 ","$92,077,628 "
255,Metro,17-Jan-97,Action,R,"$32,017,895 ","$58,804,106 "
256,Prefontaine,24-Jan-97,Drama,PG-13,"$590,817 ","$1,085,093 "
