rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
190,Mastercard,18884,0.23,8687,0.36,37669,349331,11,24000
191,Genuine Parts,18871,0.09,899,0.00,14352,17888,18,52000
192,WestRock,18746,0.07,838,0.00,29254,12379,22,49900
193,EOG Resources,18642,0.69,4664,0.00,38236,69796,92,2800
194,Cognizant Technology Solutions,18507,0.11,2137,0.54,17852,47035,9,330600
195,Moderna,18471,21.99,12202,0.00,24669,69424,0,2700
196,Steel Dynamics,18409,0.92,3214,4.84,12531,15812,123,10640
197,HF Sinclair,18389,0.64,558,0.00,12917,8896,82,4208
198,Texas Instruments,18344,0.27,7769,0.39,24676,169330,12,31000
199,Emerson Electric,18236,0.09,2303,0.17,24715,58242,18,86700
200,WESCO International,18218,0.48,465,3.63,12618,6599,45,18000
201,General Mills,18127,0.03,2340,0.07,31842,40782,32,35000
202,Tenneco,18035,0.17,35,0.00,11622,1523,3,71000
203,Waste Management,17931,0.18,1816,0.21,29097,65803,1,48500
204,Viatris,17886,0.50,1269,0.00,54843,13160,50,37000
205,DISH Network,17881,0.15,2411,0.37,48002,16743,8,14500
206,L3Harris Technologies,17814,0.02,1846,0.65,34709,47970,43,47000
207,DXC Technology,17729,0.09,149,0.00,22038,7977,55,134000
208,Block,17661,0.86,166,0.22,13926,78656,115,8521
209,Goodyear Tire & Rubber,17478,0.42,764,0.00,21402,4029,37,72000
210,Uber Technologies,17455,0.57,496,0.00,38774,69753,71,29300
211,Colgate0Palmolive,17421,0.06,2166,0.20,15040,63742,23,33800
212,Stanley Black & Decker,17253,0.19,1689,0.37,28180,22843,3,71300
213,DuPont,17160,0.16,6467,0.00,45707,37740,69,28000
214,Stryker,17108,0.19,1994,0.25,34631,100978,2,46000
215,NextEra Energy,17069,0.05,3573,0.22,140912,166264,49,15000
216,Targa Resources,16950,1.05,71,0.00,15208,17244,148,2430
217,Western Digital,16922,0.01,821,0.00,26132,15536,35,65600
218,PPG Industries,16802,0.22,1439,0.36,21351,30952,2,49300
219,American Electric Power,16792,0.13,2488,0.13,87669,50339,15,16688
220,Gap,16670,0.21,256,0.00,12761,5207,1,97000
221,BJ's Wholesale Club,16667,0.08,427,0.01,5669,9147,23,34000
222,Reinsurance Group of America,16658,0.14,617,0.49,92175,7355,15,3500
223,Kinder Morgan,16610,0.42,1784,13.99,70416,42878,39,10529
224,Oneok,16540,0.94,1500,1.45,23622,31516,127,2847
225,Expeditors Intl. of Washington,16524,0.72,1416,1.03,7610,17269,74,19070
226,Advanced Micro Devices,16434,0.68,3162,0.27,12419,177936,83,15500
227,Fiserv,16226,0.09,1334,0.39,76249,66133,22,44000
228,Estée Lauder,16215,0.13,2870,3.20,21971,97672,15,53320
229,Bank of New York Mellon,16158,0.05,3759,0.04,444438,40057,49,49100
230,Laboratory Corp. of America,16121,0.15,2377,0.53,20385,24626,12,71725
231,Regeneron Pharmaceuticals,16072,0.89,8075,1.30,25435,75806,123,10368
232,Land O'Lakes,15916,0.14,287,0.09,9560,0,13,9000
233,Cheniere Energy,15864,0.70,2343,0.00,39258,35272,95,1550
234,Southwest Airlines,15790,0.75,977,0.00,36320,27129,102,55093
235,Adobe,15785,0.23,4822,0.08,27241,215281,1,25988
236,Synchrony Financial,15752,0.04,4221,2.05,95748,18146,49,18000
237,Corteva,15655,0.10,1759,1.58,42344,41775,23,21000
238,Fidelity National Financial,15643,0.45,2422,0.70,60690,13850,50,28290
239,DTE Energy,15369,0.26,907,0.34,39719,25615,11,10300
240,Murphy USA,15319,0.61,397,0.03,4048,4889,82,10430
241,Halliburton,15295,0.06,1457,0.00,22321,34029,30,40000
242,Automatic Data Processing,15005,0.03,2599,0.05,48773,95577,34,56000
243,Edison International,14905,0.10,759,0.03,74745,26694,17,13003
244,BorgWarner,14838,0.46,537,0.07,16575,9335,51,49300
245,Nordstrom,14789,0.38,178,0.00,8869,4321,44,72000
246,Loews,14657,0.17,1578,0.00,81626,15971,7,10340
247,Guardian Life Ins. Co. of America,14648,0.08,289,11.29,90420,0,20,9150
248,Pioneer Natural Resources,14643,1.19,2118,0.00,36811,60728,180,1932
249,AutoZone,14630,0.16,2170,0.25,14516,40583,11,85050
250,Lam Research,14626,0.46,3909,0.74,15892,74997,54,14100
251,American Family Insurance Group,14612,0.12,735,0.82,36316,0,19,13590
252,Illinois Tool Works,14455,0.15,2694,0.28,16077,65312,12,45000
253,Parker0Hannifin,14348,0.05,1746,0.45,20341,36457,30,54640
254,Otis Worldwide,14298,0.12,1246,0.38,12279,32701,18,70000
255,Omnicom Group,14289,0.09,1408,0.49,28422,17566,26,71700
256,Principal Financial,14263,0.03,1711,0.23,304657,19177,50,18600
257,Dominion Energy,14218,0.12,3288,0.00,99590,68883,64,17100
258,Kellogg,14181,0.03,1488,0.19,18178,21890,36,31000
259,Fluor,14157,0.11,440,0.00,7280,4052,63,40582
260,AECOM,14112,0.14,173,0.00,11734,10857,71,51000
261,Reliance Steel & Aluminum,14093,0.60,1413,2.83,9536,11314,82,13950
262,Jacobs Engineering Group,14093,0.04,477,0.03,14633,17807,37,53500
263,Corning,14082,0.25,1906,2.72,30154,31213,14,61200
